Country,"Base_Income (USD, PPP)",Currency, PPP (2017)
Australia,99691.68,AUD,1.56288
Austria,42851.66,EUR,0.837481
Belgium,37125.97,EUR,0.857157
Brazil,40000,BRL,2.327377081
Canada,75000,CAD,1.298456
China,77785,CNY,4.146642208
Colombia,19200000,COP,1467.281232
Denmark,450292.5,DKK,7.985071
France,33183.41,EUR,0.847836
Germany,31647.5,EUR,0.799178
Georgia,5700,GEL,0.9246756312
Ireland,47845,EUR,0.986703
Israel,140700,ILS,4.252362
Japan,3300000,JPY,115.983404
Lithuania,13375.66,LTL,0.495476
Luxembourg,68647.06,EUR,0.965991
Mali,1260000,XOF,205.2733917
Mexico,135449.96,MXN,10.135383
Netherlands,49127,EUR,0.860976
Norway,579141,NOK,10.383694
Paraguay,30471978,PYG,2539.984863
Peru,21793,PEN,1.893582702
Poland,37474.2,PLN,1.876544
Romania,56410.26,RON,1.875960796
Russia,574712.62,RUB,25.850855
Serbia,697650,RSD,48.93838159
Slovakia,14550,EUR,0.618079
Spain,22622.8,EUR,0.710629
Sweden,364767.5,SEK,9.483893
Taiwan,535100,TWD,1.373864
United Kingdom,33346.7,GBP,0.786784
United States,66000,USD,1
Uruguay,636924,UYU,24.85431671
